發生地點,天候名稱,行動電話或電腦或其他相類功能裝置名稱,Date_ID,是否酒駕,死亡人數,受傷人數
新竹市,晴,0,20220127073300,0,1,0
苗栗縣,晴,0,20220127075113,0,1,1
臺中市,晴,0,20220127080900,0,1,0
臺北市,雨,0,20220128152000,0,1,0
新竹縣,陰,0,20220128160719,1,1,1
嘉義縣,雨,0,20220128180411,0,1,0
臺東縣,雨,0,20220128200200,0,1,1
苗栗縣,雨,0,20220128214400,0,1,1
新竹市,雨,0,20220129014841,0,1,0
桃園市,陰,0,20220129114300,0,1,0
彰化縣,晴,0,20220129132000,0,1,0
屏東縣,雨,0,20220129233540,0,1,0
新北市,晴,0,20220130000100,0,1,0
新北市,陰,0,20220130052200,0,1,0
宜蘭縣,陰,0,20220130072500,0,1,1
臺南市,晴,0,20220130095500,1,1,1
嘉義縣,霧或煙,0,20220130102619,0,1,0
苗栗縣,雨,0,20220130113500,0,1,0
屏東縣,晴,0,20220130153928,0,1,3
彰化縣,晴,0,20220130202100,0,1,1
臺東縣,晴,0,20220131001400,1,1,0
桃園市,陰,0,20220131061800,0,1,0
臺中市,晴,0,20220131100000,0,1,0
花蓮縣,陰,0,20220131153201,0,1,3
桃園市,晴,0,20220131155300,0,1,0
彰化縣,晴,0,20220131155700,0,1,1
屏東縣,晴,0,20220131210800,0,1,0
臺中市,雨,0,20220201031500,0,2,0
新北市,雨,0,20220201184200,0,1,0
彰化縣,晴,0,20220202200900,0,1,1
高雄市,晴,0,20220202230000,0,1,0
高雄市,晴,0,20220203004900,0,1,0
南投縣,晴,0,20220203014238,1,1,1
桃園市,雨,0,20220203140015,0,1,0
臺北市,雨,0,20220203211600,0,1,0
彰化縣,晴,0,20220204002200,0,1,0
屏東縣,晴,0,20220204032455,0,1,0
高雄市,晴,0,20220205002500,0,1,1
新北市,雨,0,20220205080900,0,1,0
雲林縣,晴,0,20220205121147,0,1,0
南投縣,晴,0,20220205183300,0,1,0
桃園市,陰,0,20220205191300,0,1,2
高雄市,晴,0,20220205195100,0,1,0
南投縣,晴,0,20220206064700,0,1,0
新竹縣,晴,0,20220206101900,0,1,1
桃園市,陰,0,20220206102600,0,1,0
臺南市,晴,0,20220206124812,0,1,0
臺南市,晴,0,20220206163500,0,1,0
彰化縣,晴,0,20220206175800,0,1,0
臺中市,晴,0,20220206201000,0,1,0
臺中市,晴,0,20220207074000,0,1,1
新竹縣,晴,0,20220207085400,0,1,0
新北市,雨,0,20220207113100,0,1,0
高雄市,晴,0,20220207182000,0,1,0
基隆市,陰,0,20220208134000,0,1,3
高雄市,晴,0,20220208134300,0,1,1
高雄市,晴,0,20220208144100,0,1,0
新竹縣,陰,0,20220208152500,0,2,0
嘉義縣,晴,0,20220208153019,0,1,0
新竹縣,陰,0,20220209015400,0,1,0
桃園市,雨,0,20220210013500,0,1,0
花蓮縣,晴,0,20220210065859,0,1,0
屏東縣,晴,0,20220210092600,0,1,0
嘉義縣,晴,0,20220210141300,0,1,0
新竹縣,陰,0,20220210143600,0,1,0
臺中市,晴,0,20220210165400,0,1,0
屏東縣,晴,0,20220211005300,0,1,0
南投縣,霧或煙,0,20220211062930,0,1,0
新北市,晴,0,20220211084500,0,1,0
高雄市,晴,0,20220211084600,0,1,0
高雄市,晴,0,20220211110000,0,1,0
臺北市,晴,0,20220211192000,1,1,0
苗栗縣,雨,0,20220212011000,0,1,1
南投縣,晴,0,20220212084500,0,1,2
彰化縣,晴,0,20220212103100,0,1,0
新竹市,晴,0,20220212111414,0,1,1
雲林縣,晴,0,20220212153800,0,1,0
高雄市,晴,0,20220212223500,0,1,0
彰化縣,晴,0,20220213001000,0,1,1
苗栗縣,陰,0,20220213173203,0,1,0
嘉義縣,雨,0,20220213211400,0,1,0
新北市,雨,0,20220213212100,0,1,0
臺中市,雨,0,20220214033800,0,1,1
新北市,雨,0,20220214041800,1,1,0
臺中市,雨,0,20220214055800,0,1,0
臺中市,晴,0,20220215061800,0,1,1
臺中市,晴,0,20220215080700,0,1,0
高雄市,晴,0,20220215151000,0,1,0
臺南市,晴,0,20220215154600,1,1,0
臺南市,晴,0,20220215184338,0,1,0
苗栗縣,晴,0,20220216051526,0,1,1
彰化縣,晴,0,20220216105000,0,1,0
桃園市,陰,0,20220216115000,0,1,0
新北市,晴,0,20220216143600,0,1,0
新竹市,晴,0,20220216145629,0,1,0
桃園市,雨,0,20220217132500,0,1,0
新竹縣,雨,0,20220218043000,1,1,1
嘉義縣,雨,0,20220218060223,0,1,0
臺中市,陰,0,20220218101000,0,1,0
臺南市,晴,0,20220218114400,0,1,0
高雄市,晴,0,20220218115000,0,1,0
南投縣,陰,0,20220218143059,0,1,1
雲林縣,晴,0,20220218151800,0,1,0
高雄市,晴,0,20220218165500,0,1,0
桃園市,雨,0,20220218180400,0,1,0
臺南市,晴,0,20220218214410,0,1,1
臺南市,晴,0,20220219022200,1,1,0
花蓮縣,雨,0,20220219101040,0,3,2
高雄市,晴,0,20220219133800,0,1,0
高雄市,雨,0,20220219175900,0,1,0
新北市,雨,0,20220220005000,0,3,0
嘉義縣,雨,0,20220220021900,0,1,0
臺中市,雨,0,20220220061100,1,1,0
基隆市,雨,0,20220220091800,0,1,1
新竹市,雨,0,20220220134000,0,1,0
屏東縣,晴,0,20220221072150,0,1,0
桃園市,雨,0,20220221162313,0,1,0
新北市,雨,0,20220221192200,0,1,0
屏東縣,晴,0,20220221202900,0,1,0
新北市,雨,0,20220222010300,1,1,0
彰化縣,雨,0,20220222072600,0,1,0
屏東縣,陰,0,20220222092300,0,1,2
臺中市,雨,0,20220222112300,0,1,1
高雄市,晴,0,20220222123400,0,1,0
桃園市,雨,0,20220222212300,0,1,0
高雄市,陰,0,20220223070700,0,1,0
嘉義縣,雨,0,20220223125500,0,1,1
花蓮縣,雨,0,20220223193518,0,1,0
新竹縣,陰,0,20220224011600,0,1,0
桃園市,雨,0,20220224013000,0,1,0
臺中市,陰,0,20220224044700,1,1,1
