Date_ID,car_hit,county
20220428,front,高雄市
20220428,front,高雄市
20220428,front,高雄市
20220429,front,苗栗縣
20220429,front,苗栗縣
20220429,front_left,高雄市
20220429,right,高雄市
20220501,front,新北市
20220501,left,高雄市
20220501,front,高雄市
20220501,front_left,高雄市
20220502,front_left,臺北市
20220502,front_left,臺北市
20220502,front_right,臺北市
20220502,front_right,高雄市
20220502,front_right,高雄市
20220504,front,臺北市
20220504,front_left,臺中市
20220504,left_back,臺中市
20220504,left_back,臺中市
20220504,left_back,臺中市
20220504,front,高雄市
20220504,left,高雄市
20220505,right,新北市
20220505,left,新北市
20220505,left,高雄市
20220505,front,高雄市
20220505,left,新北市
20220505,front,新北市
20220506,front_right,新北市
20220506,left,新北市
20220506,front_right,新北市
20220506,front,基隆市
20220506,front,基隆市
20220507,front,新北市
20220508,front_right,高雄市
20220508,front,高雄市
20220509,back,彰化縣
20220509,front,高雄市
20220509,back,高雄市
20220509,left_back,高雄市
20220509,front,高雄市
20220510,front,新北市
20220510,front,新北市
20220511,front,新北市
20220511,front,高雄市
20220511,right,高雄市
20220511,right,新北市
20220513,right_back,新北市
20220513,front,嘉義縣
20220516,front,新北市
20220516,back,新北市
20220516,front_right,新北市
20220517,right,苗栗縣
20220518,right,屏東縣
20220518,left,屏東縣
20220518,front_left,新北市
20220518,front,新北市
20220520,front,新北市
20220522,left,高雄市
20220522,right,桃園市
20220522,right,臺北市
20220522,front,臺北市
20220522,left,臺北市
20220522,left,臺北市
20220523,right,臺中市
20220523,left_back,臺中市
20220523,left,新北市
20220523,front,新北市
20220524,front,臺南市
20220524,front_left,高雄市
20220524,left,新北市
20220524,front,新北市
20220525,front,新北市
20220525,front,新北市
20220525,front,新北市
20220526,front_right,高雄市
20220526,front,高雄市
20220526,front_right,新北市
20220527,right,高雄市
20220527,left_back,高雄市
20220527,right,彰化縣
20220527,front,彰化縣
20220528,right_back,彰化縣
20220528,front,彰化縣
20220528,right,宜蘭縣
20220531,front,新北市
20220531,front,臺中市
20220531,right,臺北市
20220531,front_left,高雄市
20220601,front,臺北市
20220601,back,新北市
20220601,front_left,新北市
20220601,front_left,彰化縣
20220601,front,彰化縣
20220601,front,屏東縣
20220601,front_right,屏東縣
20220602,front,新北市
20220602,back,新北市
20220603,front,新北市
20220603,back,高雄市
20220603,front,高雄市
20220604,front,臺北市
20220604,right_back,臺北市
20220604,left,臺北市
20220606,left,高雄市
20220606,front,高雄市
20220607,left_back,臺北市
20220607,front,臺北市
20220607,right,臺北市
20220608,front_left,臺東縣
20220608,front_left,臺南市
20220609,front_right,南投縣
20220609,front_left,南投縣
20220609,front_left,南投縣
20220609,front,南投縣
20220610,front,南投縣
20220610,right,桃園市
20220611,left,高雄市
20220611,right,高雄市
20220614,front,新北市
